id,member_id,loan_amnt,loan_status,dti,fico_range_low,fico_range_high
1068440,1302831,26800,Fully Paid,12.15,680,684
1046456,1277297,8000,Fully Paid,10.05,705,709
1068012,1302365,10000,Charged Off,24.14,665,669
1055725,1287293,8000,Fully Paid,9.7,690,694
1061814,1293438,10000,Fully Paid,7,710,714
1068232,1302622,12000,Fully Paid,13.32,695,699
1068405,1302785,10000,Fully Paid,25.26,730,734
1068395,1302773,12000,Fully Paid,16.44,725,729
1068202,1302588,25000,Late (31-120 days),14.15,740,744
1068006,1302360,19750,Charged Off,22.8,720,724
1068075,1302430,10000,Fully Paid,14.81,710,714
1065642,1299748,13650,Fully Paid,24.09,675,679
1068179,1302564,28000,Charged Off,20.7,685,689
1068158,1302728,18000,Fully Paid,27.55,720,724
1068180,1302565,2500,Fully Paid,10.33,670,674
1065673,1299784,21000,Fully Paid,23.21,670,674
1068159,1302729,35000,Fully Paid,22.71,740,744
1068165,1302549,10000,Fully Paid,9.75,745,749
1059689,1291305,7000,Fully Paid,15.8,675,679
1066215,1300572,24000,Charged Off,9.17,715,719
1063270,1295780,10625,Fully Paid,18.89,730,734
1067931,1302311,5000,Fully Paid,18.3,670,674
1067922,1302299,8850,Fully Paid,17.71,735,739
1067919,1302295,6375,Fully Paid,4.8,730,734
1068106,1302467,6000,Fully Paid,2.97,680,684
1068111,1302472,11100,Charged Off,29.85,755,759
1067655,1302044,10000,Fully Paid,10.82,735,739
1060662,1292431,6200,Fully Paid,18.2,770,774
1061304,1293317,15000,Fully Paid,19.69,660,664
1068095,1302453,4200,Fully Paid,16.91,680,684
1067182,1301537,14000,Fully Paid,7.36,680,684
822464,1030901,8875,Fully Paid,23.53,740,744
1063526,1296092,13500,Fully Paid,12.38,745,749
1068091,1302450,12000,Charged Off,7.83,725,729
1068090,1302449,16000,Fully Paid,15.8,665,669
1068082,1270159,21600,Fully Paid,16.74,675,679
1068078,1302434,6000,Fully Paid,12.86,690,694
1057633,1289398,8450,Current,22.51,690,694
1046204,1276836,20000,Current,17.68,715,719
1067794,1302151,10000,Charged Off,22.08,695,699
1067816,1302174,12000,Fully Paid,18.18,685,689
1068018,1302371,13475,Charged Off,21.89,730,734
1052996,1284571,7200,Fully Paid,17.43,685,689
1067818,1247741,5600,Charged Off,12.24,675,679
1064842,1298688,12000,Fully Paid,10.86,680,684
1067109,1301487,8500,Fully Paid,1.73,760,764
1067971,1302322,8000,Fully Paid,18.28,710,714
1057518,1289083,8000,Fully Paid,15,690,694
1067473,1301868,16000,Late (31-120 days),17.44,735,739
1062177,1294027,15000,Fully Paid,3.59,670,674
1067447,1301839,10000,Fully Paid,11.24,730,734
1059412,1291030,10000,Fully Paid,16.78,740,744
1062608,1294481,8000,Fully Paid,12.6,675,679
1067664,1302055,22000,Fully Paid,13.22,740,744
1067441,1301833,6000,Fully Paid,24.53,695,699
1067654,1302043,16000,Current,9.39,780,784
1067644,1302032,2500,Charged Off,16.3,730,734
1062288,1294350,13500,Fully Paid,22.93,725,729
1067434,1301822,25000,Fully Paid,8.32,710,714
1067419,1301804,10000,Fully Paid,24.97,690,694
1067601,1301984,2500,Fully Paid,6.44,685,689
1067579,1301961,7325,Fully Paid,22.57,680,684
1067563,1301944,4000,Fully Paid,12.12,695,699
1067364,1301744,10000,Charged Off,6.92,690,694
1067152,1301933,7750,Charged Off,16.1,665,669
1062471,1294536,20000,Charged Off,16.63,665,669
1066842,1301036,9600,Fully Paid,11.65,685,689
1067126,1301506,21000,Charged Off,6.62,735,739
1067326,1301703,14000,Fully Paid,15.52,700,704
1066789,1300973,13350,Fully Paid,20.57,705,709
1067324,1301699,15000,Charged Off,19.63,665,669
1067102,1301481,15000,Charged Off,16.03,665,669
1046969,1277832,11000,Current,10.94,720,724
1067084,1301459,35000,Fully Paid,3.17,760,764
1067090,1301465,9000,Fully Paid,8.89,705,709
1060875,1292842,22475,Current,15.23,715,719
1067265,1301632,16000,Charged Off,20.64,695,699
1067287,1301658,13500,Fully Paid,11.97,710,714
1067066,1301436,24000,Fully Paid,11.6,700,704
1067283,1301654,12000,Fully Paid,10.84,715,719
1067266,1301634,8400,Current,11.35,685,689
1066635,1300826,28000,Fully Paid,12.07,715,719
1067026,1301392,14000,Fully Paid,11.15,750,754
1067038,1301405,12000,Charged Off,8.4,690,694
1067030,1301397,25000,Fully Paid,6.88,735,739
1065350,1299445,9000,Fully Paid,17.81,695,699
1067028,1301395,13250,Fully Paid,24.93,720,724
1061877,1293509,20000,Fully Paid,22.38,715,719
1067018,1301384,3000,Fully Paid,21.84,680,684
1067223,1301585,7350,Fully Paid,11.93,695,699
1067004,1301365,11500,Fully Paid,21.1,670,674
1031265,1260676,13650,Charged Off,12.29,700,704
1066835,1301027,10500,Charged Off,15,680,684
1067181,1301536,12000,Fully Paid,15.5,715,719
1067179,1301534,6000,Fully Paid,14.51,715,719
1067172,1301527,11500,Fully Paid,21.69,685,689
1066712,1301115,7000,Fully Paid,12,690,694
1066706,1300906,29500,Current,20.93,690,694
1066836,1301028,2000,Fully Paid,17.74,680,684
1066826,1301015,11625,Fully Paid,19.33,690,694
1063280,1295793,15075,Charged Off,20.16,700,704
1057447,1289006,5300,Fully Paid,24.88,660,664
1040867,1270873,8200,Fully Paid,11.1,750,754
1065232,1299103,12000,Fully Paid,13.98,700,704
1052492,1284024,8650,Fully Paid,7.6,680,684
1066664,1300858,21000,Current,7.75,695,699
1066659,1300852,16000,Current,11.04,695,699
1066763,1300945,12000,Fully Paid,11.81,700,704
1066798,1300982,9500,Charged Off,23.54,695,699
1066639,1300831,7400,Fully Paid,8.45,690,694
1066633,1300823,14400,Fully Paid,16.92,690,694
1060644,1292408,24250,Fully Paid,12.96,670,674
1066766,1300949,7200,Late (31-120 days),7.98,720,724
1066613,1300801,26000,Charged Off,11.77,730,734
1065648,1299754,7000,Charged Off,26.22,730,734
1066768,1300951,4000,Fully Paid,18.17,720,724
1066617,1300806,1500,Fully Paid,8.23,665,669
1062015,1293857,19600,Fully Paid,11.62,695,699
1066598,1300783,2500,Fully Paid,18.7,685,689
1066503,1300476,10000,Charged Off,2.69,685,689
1066530,1300506,10000,Fully Paid,26.85,740,744
1066520,1300495,4225,Fully Paid,17.61,690,694
1065929,1300072,3500,Fully Paid,6.46,715,719
1066582,1300766,12000,Fully Paid,13.65,735,739
1066348,1300722,16500,Fully Paid,9.06,745,749
1061430,1293224,22000,Fully Paid,15.62,665,669
1061519,1293522,12000,Fully Paid,14.87,675,679
1066344,1300716,15600,Current,5.78,740,744
1066480,1300453,10800,Fully Paid,12.12,675,679
1066471,1300438,14000,Fully Paid,7.35,715,719
1064063,1296651,18825,Current,24.98,700,704
1066318,1300689,6000,Fully Paid,15.58,675,679
1066453,1300423,12000,Fully Paid,14.83,705,709
1063090,1295591,10000,Fully Paid,10.45,680,684
1061406,1293196,8000,Fully Paid,6.09,720,724
1066278,1300643,14125,Fully Paid,23.13,725,729
1066281,1300646,14000,Fully Paid,19.24,690,694
1056150,1287925,13200,Fully Paid,9.64,690,694
1066434,1300402,4000,Fully Paid,20.59,680,684
1048526,1279867,4000,Charged Off,6.86,685,689
1028566,1257917,10500,Fully Paid,10.36,775,779
1066424,1291243,5500,Fully Paid,6.65,705,709
1066212,1300569,7350,Fully Paid,22.51,695,699
1066232,1300594,10000,Charged Off,18.31,720,724
1056219,1287799,12000,Fully Paid,10.74,735,739
1066199,1300556,5000,Current,23.78,710,714
1060851,1292817,8000,Fully Paid,16.22,745,749
972383,1194336,4500,Fully Paid,23.43,700,704
1066191,1300547,18000,Fully Paid,12.51,720,724
1066173,1300526,12300,Current,12.76,720,724
1066379,1300340,12000,Fully Paid,15.72,670,674
1066364,1300323,10000,Fully Paid,5.88,695,699
1066140,1300296,6000,Fully Paid,8.87,740,744
1066171,1300523,12000,Fully Paid,22.2,695,699
1066162,1300514,12000,Charged Off,9.13,715,719
1040154,1270530,7000,Fully Paid,15.57,690,694
1066155,1277661,35000,Fully Paid,12,720,724
1065382,1299269,1400,Fully Paid,10,745,749
1063447,1296011,16000,Charged Off,16.22,730,734
1065932,1300077,3200,Fully Paid,2.16,700,704
1065936,1300082,8000,Fully Paid,13.35,735,739
1066112,1300264,11875,Charged Off,23.75,725,729
1066084,1300233,5000,Fully Paid,3.82,790,794
1066081,1300229,1800,Fully Paid,23.8,750,754
1065896,1300036,35000,Fully Paid,17.73,735,739
1066065,1300209,18000,Fully Paid,7,740,744
1066071,1300216,14000,Charged Off,19.74,740,744
1062094,1294147,5000,Fully Paid,20.06,685,689
1061154,1292952,8000,Fully Paid,14.04,675,679
1066061,1300203,10000,Fully Paid,12.99,750,754
1065863,1300001,10000,Fully Paid,4.63,740,744
1065862,1300000,12000,Fully Paid,18.51,685,689
1065854,1299989,23200,Fully Paid,27.99,740,744
1065145,1299228,18000,Current,11.41,710,714
1062260,1294318,4800,Fully Paid,9.3,665,669
1065842,1299977,7300,Fully Paid,16.42,695,699
1066018,1300151,10400,Fully Paid,11.67,730,734
1049352,1280767,6600,Fully Paid,15.53,710,714
1066016,1300149,12000,Fully Paid,9.45,715,719
1065997,1300128,13250,Fully Paid,23.7,670,674
1061891,1293926,12000,Fully Paid,15.97,705,709
1065752,1299871,25000,Fully Paid,10.35,740,744
1063126,1295634,6000,Fully Paid,14.43,705,709
1065738,1299858,12000,Fully Paid,7.08,745,749
1061467,1293268,14400,Fully Paid,16.35,705,709
1065721,1299839,10000,Fully Paid,11.58,680,684
1065717,1299834,8000,Fully Paid,2.48,700,704
1065026,1298879,8000,Charged Off,13.22,665,669
1057001,1288555,30000,Charged Off,0.94,755,759
1065513,1299629,18000,Charged Off,18.42,700,704
1065698,1299812,13250,Fully Paid,22.35,705,709
1065681,1299792,14000,Fully Paid,16.21,685,689
1061788,1293410,20000,Charged Off,20.91,665,669
1065484,1299597,10000,Fully Paid,24.39,680,684
1061681,1293700,35000,Current,20.16,685,689
1065661,1299772,4000,Fully Paid,7.05,755,759
1065663,1299774,13000,Fully Paid,8.38,710,714
1065480,1299593,28000,Fully Paid,12.35,720,724
1065658,1299768,10000,Fully Paid,11.52,670,674
1065447,1299549,20000,Fully Paid,9.25,745,749
1065470,1299579,18000,Fully Paid,10,730,734
1065467,1299576,9000,Charged Off,22.56,680,684
1065649,1299755,25000,Late (31-120 days),12.6,685,689
1065430,1299526,10000,Fully Paid,8.69,695,699
1059462,1291082,4200,Fully Paid,8.92,765,769
1064102,1296692,20000,Charged Off,10.79,715,719
1062399,1294261,18000,Current,7.82,705,709
1065572,1299469,24000,Fully Paid,8.83,680,684
1065567,1299463,4475,Fully Paid,18.79,665,669
1065342,1299434,20000,Current,12.15,725,729
1065355,1299450,12000,Fully Paid,22.49,680,684
1058717,1290516,18000,Current,21.96,690,694
1065348,1299443,5000,Charged Off,23.84,695,699
890389,1107021,3000,Fully Paid,5.5,750,754
1065142,1299224,25000,Current,19.63,695,699
1065320,1299408,18000,Current,11.32,675,679
1065304,1299388,12000,Charged Off,13,705,709
1065180,1299041,20000,Fully Paid,4.34,675,679
1065298,1299382,10000,Fully Paid,13.87,690,694
1064904,1298955,15000,Fully Paid,17.85,690,694
1064696,1298728,12000,Fully Paid,8.71,725,729
977277,1200058,20000,Current,5.23,750,754
1065260,1299343,6300,Fully Paid,7.2,695,699
1059734,1291550,20000,Current,22.82,700,704
1065110,1299187,35000,Fully Paid,7.94,725,729
1047987,1279118,8250,Fully Paid,15.6,695,699
1065104,1299181,20000,Current,10.21,725,729
1065103,1299180,10000,Charged Off,21.83,695,699
1065254,1299335,24000,Charged Off,3.94,765,769
1064873,1298920,14400,Fully Paid,20.16,695,699
1065244,1299321,6000,Fully Paid,21.39,670,674
1064969,1298813,22000,Fully Paid,22.47,675,679
1059620,1291228,12000,Charged Off,16.36,695,699
1032978,1262529,16000,Fully Paid,17.2,665,669
1065234,1299108,10000,Fully Paid,11.16,710,714
1064958,1299015,16000,Current,16.89,670,674
1065196,1299063,10000,Charged Off,12.03,695,699
1065199,1299065,3500,Fully Paid,10.35,675,679
1065195,1299060,9600,Fully Paid,16.49,710,714
1065020,1298873,9875,Fully Paid,24.03,725,729
1065016,1298869,21500,Fully Paid,22.86,690,694
1064924,1298975,4800,Fully Paid,13,730,734
1064940,1298993,7800,Fully Paid,0.78,770,774
1064932,1298984,20000,Fully Paid,6.21,705,709
1062248,1294105,9750,Charged Off,29.04,735,739
1064985,1298830,18000,Fully Paid,23.41,710,714
1064926,1298978,5000,Fully Paid,16.48,760,764
1064908,1298959,9000,Fully Paid,17.01,675,679
1059118,1290932,7200,Fully Paid,11.98,710,714
1064897,1298948,3000,Current,10.73,670,674
1064754,1298795,25000,Late (31-120 days),20.04,685,689
1060082,1291917,25000,Fully Paid,18.5,690,694
1064736,1298775,10000,Fully Paid,13.09,665,669
1064727,1298762,8875,Charged Off,23.11,695,699
1042668,1272939,15550,Fully Paid,23.36,710,714
1064862,1298709,17000,Current,16.84,715,719
1064711,1298745,7500,Fully Paid,4.41,705,709
1032875,1262430,8875,Fully Paid,24.29,720,724
1064830,1298673,4500,Fully Paid,4.34,675,679
1064681,1298511,5800,Fully Paid,21.67,690,694
1064383,1298181,10000,Fully Paid,22.26,705,709
1064675,1298502,10000,Fully Paid,19.06,715,719
1064666,1298492,14000,Fully Paid,12.97,710,714
1064639,1298460,25000,Current,17.15,685,689
1064636,1298456,12000,Charged Off,6.75,715,719
1064805,1298641,24000,Fully Paid,10.58,765,769
1064635,1298453,14000,Fully Paid,3.3,680,684
1064793,1298624,12000,Fully Paid,17.08,715,719
1056865,1288419,15000,Charged Off,24.76,735,739
1064783,1298613,8050,Charged Off,14.8,695,699
1064623,1298440,5600,Fully Paid,16.36,685,689
1064792,1298623,7500,Fully Paid,12.35,705,709
1062701,1294981,7000,Fully Paid,12.19,695,699
1064781,1298611,5400,Fully Paid,10.89,720,724
1064774,1298604,16000,Fully Paid,13.67,720,724
1053765,1285367,35000,Fully Paid,16.53,740,744
1064608,1298422,6000,Charged Off,1.68,795,799
1064589,1298401,4125,Current,17.73,740,744
1064558,1298584,9800,Fully Paid,21.01,665,669
1064585,1298397,15700,Current,17.43,680,684
1064548,1298574,5000,Fully Paid,1.82,730,734
1064462,1298274,9900,Fully Paid,14.09,705,709
1064582,1298394,4000,Fully Paid,7.5,685,689
1064579,1298391,15000,Fully Paid,5.7,720,724
1046511,1277556,6250,Fully Paid,20.85,675,679
1029191,1258545,6400,Fully Paid,17.97,670,674
1064527,1298549,8850,Current,7.67,715,719
1064567,1298378,12000,Fully Paid,17.07,670,674
1064500,1298518,15000,Fully Paid,6.48,735,739
1063899,1296478,6500,Fully Paid,10.12,670,674
1057598,1289361,8000,Fully Paid,16.34,670,674
1052002,1283533,30000,Current,17.57,675,679
1064323,1298326,15000,Fully Paid,14.56,690,694
1064317,1298320,10200,Fully Paid,16.53,690,694
1064471,1298287,9000,Fully Paid,19.1,675,679
1060374,1292126,6500,Fully Paid,21.85,670,674
1064452,1298261,23000,Fully Paid,8.94,700,704
1064453,1298262,2000,Fully Paid,5.09,705,709
1064284,1298080,8000,Fully Paid,14.48,690,694
1063081,1295580,8875,Fully Paid,28.4,730,734
1064251,1298041,1500,Charged Off,4.59,675,679
1064407,1298209,8000,Fully Paid,20.26,700,704
1035800,1265435,20000,Charged Off,16.51,730,734
1063678,1296243,6500,Fully Paid,6.26,690,694
1059751,1291568,9600,Fully Paid,10.22,685,689
1064386,1298184,25975,Current,26.13,725,729
1055800,1287372,10000,Fully Paid,10.46,730,734
1064221,1298006,15000,Fully Paid,5.61,720,724
1064210,1297995,9000,Fully Paid,22.05,760,764
1064209,1297994,10000,Fully Paid,27.92,730,734
1064366,1298164,1000,Charged Off,6,685,689
1064216,1298000,14000,Fully Paid,15.2,720,724
1064150,1298144,8500,Charged Off,8.5,685,689
1056864,1288418,15000,Current,2.82,670,674
1064146,1298139,4500,Fully Paid,14.66,660,664
1064183,1297966,3000,Fully Paid,27.91,725,729
1064185,1268159,10000,Fully Paid,7.98,730,734
1064126,1298118,21250,Current,19.93,715,719
1029473,1258841,33425,In Grace Period,25.71,745,749
1057239,1288798,35000,Current,11.72,700,704
1064128,1298120,7200,Fully Paid,20.95,680,684
1063949,1297930,18000,Charged Off,18.18,735,739
1064166,1268179,23000,Fully Paid,8.13,755,759
1064133,1298122,20000,Late (31-120 days),9.46,700,704
1064094,1296684,6000,Current,15.54,670,674
1063505,1296072,7000,Fully Paid,7.9,715,719
1063528,1296094,21000,Fully Paid,8.52,705,709
1063912,1296491,8250,Fully Paid,17.87,755,759
1064082,1296671,13000,Fully Paid,8.82,705,709
1063892,1296470,18000,Fully Paid,6.35,790,794
1064061,1296648,7200,Fully Paid,2.54,790,794
1063876,1296451,16500,Fully Paid,13.1,720,724
1042841,1273136,8125,Fully Paid,24.34,730,734
1063864,1296438,18800,Fully Paid,13.76,765,769
1064051,1296635,26800,Fully Paid,21.59,710,714
1063847,1296419,19200,Fully Paid,19.66,730,734
1062833,1294709,12875,Fully Paid,18.7,695,699
1062032,1293876,4000,Fully Paid,19.64,690,694
1063843,1282549,4000,Fully Paid,9.22,665,669
1063828,1296397,12000,Fully Paid,18.8,715,719
1064006,1296581,2625,Fully Paid,14.52,690,694
1063729,1296299,18000,Current,13.7,720,724
1062625,1294499,7000,Fully Paid,11.45,695,699
1062070,1294119,11300,Fully Paid,16.33,690,694
1063964,1296535,4000,Fully Paid,10.05,720,724
1063804,1296372,8000,Fully Paid,4.72,790,794
1063751,1296522,14400,Charged Off,7.82,660,664
1063982,1296554,4375,Fully Paid,13.92,695,699
1063972,1296543,4100,Fully Paid,6.58,735,739
1063785,1296352,6000,Fully Paid,14.43,710,714
1063788,1296355,4200,Current,10.13,695,699
1063485,1296051,4000,Fully Paid,3.89,760,764
1063781,1296348,3000,Charged Off,13.37,705,709
1057766,1289131,5400,Fully Paid,8.8,670,674
1063778,1296342,15000,Charged Off,21.99,670,674
1062818,1294695,20000,Fully Paid,23.47,685,689
1042037,1272109,10400,Fully Paid,19.91,710,714
1063518,1296086,4500,Fully Paid,22.63,685,689
1063515,1296083,11500,Fully Paid,13.06,690,694
1063524,943135,10000,Fully Paid,24.85,760,764
1063519,1296087,18225,Fully Paid,20.8,720,724
1063521,1288586,3600,Fully Paid,5.48,720,724
984879,1208718,18500,Fully Paid,0.72,760,764
1063509,1296075,16800,Fully Paid,21.5,680,684
1063693,1296259,10000,Charged Off,17.15,665,669
1063700,1296266,15000,Fully Paid,8.49,660,664
1056934,1288490,8000,Fully Paid,10.22,705,709
1063246,1295751,25000,Fully Paid,13.66,715,719
1057424,1288982,16000,Charged Off,24.66,730,734
1063680,1296245,8000,Fully Paid,11.56,700,704
1063679,1296244,7200,Fully Paid,19.74,725,729
1063034,1295527,12000,Fully Paid,13.3,735,739
1063448,1296012,2200,Charged Off,5.47,680,684
1063431,1295991,20000,Current,17.78,725,729
1060804,1292769,28000,Fully Paid,15.87,755,759
1027771,1257143,6000,Fully Paid,23.86,745,749
1063653,1296216,25000,Current,21.13,680,684
1063421,1295979,8000,Charged Off,25.12,750,754
1062855,1295334,14400,Fully Paid,0.98,725,729
1062490,1294556,20000,Fully Paid,18.06,695,699
1063626,1296185,25000,Current,13.41,725,729
1063407,1295960,14050,Fully Paid,2.21,735,739
1063609,1296167,6000,Fully Paid,3.16,675,679
1063602,1296158,16100,Current,27.8,725,729
1063393,1295948,35000,Charged Off,16.39,685,689
1063388,1295942,10525,Fully Paid,7.27,735,739
1063582,1296138,7200,Fully Paid,5.2,685,689
988402,1212630,18500,Fully Paid,26.34,810,814
1063564,1296115,12000,Fully Paid,16.2,690,694
1063121,1295626,12000,Fully Paid,6.58,695,699
1063275,1295786,3000,Fully Paid,16.03,690,694
1057756,1289523,9500,Fully Paid,18.51,665,669
1059960,1291803,19775,Fully Paid,17.57,715,719
1059525,1291351,12000,Charged Off,16.13,715,719
1062577,1294447,28000,Fully Paid,9.46,735,739
1053188,1284748,30000,Fully Paid,22.23,725,729
1063098,1295599,16000,Fully Paid,13.33,730,734
1063238,1295743,14500,Fully Paid,5.24,685,689
1062043,1293888,11700,Fully Paid,18.17,725,729
1063228,1295731,4150,Fully Paid,1.99,685,689
1039993,1269948,15000,Current,26.48,735,739
1063197,1295491,24000,Fully Paid,12.57,690,694
1063069,1295567,21250,Charged Off,14.27,715,719
1063062,1295557,10000,Fully Paid,13.46,680,684
1063199,1295495,25000,Fully Paid,10.58,690,694
1063187,1295480,4000,Fully Paid,21.91,665,669
1063040,1295533,15000,Fully Paid,8.86,705,709
1063020,1295111,20000,Current,9.09,715,719
1062929,1295416,15000,Fully Paid,12.36,695,699
1063003,1295092,3600,Fully Paid,12.78,680,684
1063001,1295090,6000,Current,20.13,675,679
1062997,1295086,15000,Charged Off,10.72,680,684
1061315,1293329,12000,Current,15.24,670,674
1062808,1294683,12375,Fully Paid,28.06,735,739
1062918,1295405,4000,Charged Off,17.6,680,684
1062983,1295070,13000,Fully Paid,20.11,705,709
1061530,1293535,5000,Fully Paid,8.16,755,759
1035958,1265811,5000,Fully Paid,19.63,660,664
1062894,1295377,26000,Fully Paid,16.55,745,749
1062895,1295378,15000,In Grace Period,17.97,685,689
1062976,1295062,4000,Charged Off,15.2,700,704
1061972,1293809,8000,Fully Paid,7.56,730,734
1062897,1295380,1700,Charged Off,27,725,729
1062857,1295337,16000,Fully Paid,15.1,725,729
1059828,1291460,20000,Fully Paid,11.19,775,779
1059486,1291111,12000,Charged Off,13.81,675,679
1062887,1295369,7000,Fully Paid,24.64,675,679
1062851,1295329,8000,Charged Off,14.23,675,679
1062756,1271501,13000,Current,11.65,660,664
1062844,1295322,13000,Charged Off,12.9,680,684
1062753,1295039,20000,Fully Paid,16.72,660,664
1062873,1295353,18000,Fully Paid,16.4,680,684
1062860,1295340,10000,Fully Paid,17.03,670,674
1062738,1295022,22250,Fully Paid,23.07,715,719
1062864,1295344,24000,Charged Off,21.29,700,704
1062734,1295018,11200,Charged Off,22.88,680,684
1052370,1283491,7000,Fully Paid,18.16,700,704
